actualstart,actualfinish,category
2018-02-17 08:00:00.000,2018-02-17 23:30:00.000,Плановое прерывание
2018-02-16 13:30:00.000,2018-02-16 14:30:00.000,Упреждающее прерывание
2018-02-26 12:00:00.000,2018-02-26 14:00:00.000,Плановое прерывание
2018-02-28 08:30:00.000,2018-02-28 11:50:00.000,Аварийное прерывание
2018-03-01 12:30:00.000,2018-03-01 13:30:00.000,Упреждающее прерывание
2018-03-06 13:00:00.000,2018-03-06 14:00:00.000,Упреждающее прерывание
2018-03-06 13:30:00.000,2018-03-06 14:30:00.000,Упреждающее прерывание
2018-03-23 15:00:00.000,2018-03-23 16:00:00.000,Упреждающее прерывание
2018-03-23 17:00:00.000,2018-03-23 18:00:00.000,Упреждающее прерывание
2018-03-26 13:00:00.000,2018-03-26 14:00:00.000,Упреждающее прерывание
2018-03-30 13:00:00.000,2018-03-30 14:00:00.000,Упреждающее прерывание
2018-04-09 15:30:00.000,2018-04-09 16:30:00.000,Упреждающее прерывание
2018-04-09 13:00:00.000,2018-04-09 14:00:00.000,Упреждающее прерывание
2018-04-16 15:00:00.000,2018-04-16 16:00:00.000,Упреждающее прерывание
2018-04-16 17:00:00.000,2018-04-16 18:00:00.000,Упреждающее прерывание
2018-04-17 17:00:00.000,2018-04-17 18:00:00.000,Упреждающее прерывание
2018-06-07 13:00:00.000,2018-06-07 14:00:00.000,Упреждающее прерывание
2018-06-22 13:00:00.000,2018-06-22 14:00:00.000,Упреждающее прерывание
2018-06-26 11:30:00.000,2018-06-26 12:30:00.000,Аварийное прерывание
2018-07-21 08:00:00.000,2018-07-21 23:30:00.000,Плановое прерывание
2018-09-03 16:30:00.000,2018-09-03 17:00:00.000,Упреждающее прерывание
2018-09-15 08:00:00.000,2018-09-15 23:30:00.000,Упреждающее прерывание
2018-10-11 14:00:00.000,2018-10-11 15:00:00.000,Упреждающее прерывание
2019-06-15 08:00:00.000,2019-06-16 21:00:00.000,Плановое прерывание
2019-06-25 17:00:00.000,2019-06-25 18:00:00.000,Упреждающее прерывание
2019-06-26 08:50:00.000,2019-06-26 09:08:00.000,Аварийное прерывание
2019-07-01 14:05:00.000,2019-07-01 15:12:00.000,Аварийное прерывание
2019-07-01 21:00:00.000,2019-07-02 00:00:00.000,Упреждающее прерывание
2019-07-15 08:15:00.000,2019-07-15 10:40:00.000,Аварийное прерывание
2019-07-16 16:00:00.000,2019-07-16 16:25:00.000,Аварийное прерывание
2019-08-14 17:00:00.000,2019-08-14 18:00:00.000,Упреждающее прерывание
2019-09-18 08:30:00.000,2019-09-18 09:00:00.000,Упреждающее прерывание
2019-09-26 15:00:00.000,2019-09-26 16:00:00.000,Упреждающее прерывание
2019-10-14 08:15:00.000,2019-10-14 09:40:00.000,Аварийное прерывание
2019-10-22 13:30:00.000,2019-10-22 14:00:00.000,Упреждающее прерывание
2019-11-18 13:00:00.000,2019-11-18 13:45:00.000,Упреждающее прерывание
2019-11-23 08:00:00.000,2019-11-23 21:00:00.000,Плановое прерывание
2020-02-11 15:00:00.000,2020-02-11 16:00:00.000,Упреждающее прерывание
2020-02-11 13:00:00.000,2020-02-11 14:00:00.000,Упреждающее прерывание
2020-02-12 12:00:00.000,2020-02-12 13:00:00.000,Упреждающее прерывание
2020-02-12 13:30:00.000,2020-02-12 14:30:00.000,Упреждающее прерывание
2020-02-19 13:30:00.000,2020-02-19 13:50:00.000,Упреждающее прерывание
2020-03-21 08:00:00.000,2020-03-21 21:00:00.000,Плановое прерывание
2020-04-28 12:00:00.000,2020-04-28 13:00:00.000,Упреждающее прерывание
2020-04-28 15:00:00.000,2020-04-28 16:00:00.000,Упреждающее прерывание
2020-04-29 12:00:00.000,2020-04-29 13:00:00.000,Упреждающее прерывание
2020-04-29 13:00:00.000,2020-04-29 14:00:00.000,Упреждающее прерывание
2020-06-04 13:00:00.000,2020-06-04 14:00:00.000,Упреждающее прерывание
2020-06-04 12:00:00.000,2020-06-04 13:00:00.000,Упреждающее прерывание
